Marker Loglikelihood AverageProb Beta_0 NumError 
M40 -265.2058224843691552342 0.07614213197969543147101 -2.495956485974585284523 0 
M41 -179.7741783122618206142 0.04467005076142131979832 -3.062753505667118472016 0 
M42 -97.73375329130630927849 0.02030456852791878172651 -3.876395827784994933081 0 
M43 -680.9819096378437603967 0.4700507614213197969449 -0.1199405337964046453352 0 
M44 -141.1354644824616857424 0.9675126903553299492376 3.393879000854475565339 0 
M45 -20.3775148844177169602 0.003045685279187817258976 -5.790979019686356196912 0 
M46 -242.1348571358870636061 0.06700507614213197969747 -2.633631380329261504692 0 
M47 -247.3699405433540258192 0.06903553299492385787013 -2.601599767080358150155 0 
M48 -64.81942479006861887458 0.0121827411167512690359 -4.395477432398004752259 0 
M49 -46.4730251752701233707 0.008121827411167512690603 -4.805045110362946812321 0 
M50 -109.1437480477274619695 0.9766497461928934010382 3.7335202347365567992 0 
M51 -329.9815373688651350959 0.1045685279187817258881 -2.147463067777155531742 0 
M52 -194.8007359640606881435 0.04974619289340101522994 -2.94979517836696543691 0 
M53 -77.6540741854687462456 0.01522842639593908629403 -4.169245870395218440084 0 
M54 -592.5363656475588770012 0.7106598984771573603871 0.8985911547747541471519 0 
M55 -282.3335725433009586183 0.08324873096446700507868 -2.399003306152732306698 0 
M56 -291.8247010867192576256 0.08730964467005076142398 -2.346935738218112540206 0 
M57 -471.3739642072811708295 0.1847715736040609137044 -1.484348026869966322584 0 
M58 -314.6781478017340992759 0.09746192893401015228724 -2.225749044046068339736 0 
M59 -89.87537980904097066615 0.01827411167512690355386 -3.983826737557129633654 0 
M60 -319.1067043361944920721 0.09949238578680203045989 -2.202877503639007570864 0 
M61 -176.699442928750363041 0.04365482233502538071199 -3.086805158882800634778 0 
M62 -7.89213385509017939512 0.9989847715736040609171 6.891625897052253423535 0 
M63 -85.86272922182532307822 0.9827411167512690355359 4.042018743220360935987 0 
M64 -550.3009473925579803089 0.2467005076142131979669 -1.116287799826831991725 0 
M65 -378.5899392135948194338 0.1289340101522842639532 -1.910417013029371007915 0 
M66 -112.8553176057057687576 0.9756345177664974619553 3.689920578622346872223 0 
M67 -294.1652888961835214388 0.08832487309644670050692 -2.334261949647615884147 0 
M68 -97.7337532913063091744 0.979695431472081218287 3.876395827784994933081 0 
M69 -14.3969570887229369148 0.002030456852791878172651 -6.197461939587221242502 0 
M70 -406.2614287795643745471 0.1441624365482233502514 -1.781139900400594725774 0 
M71 -7.892133855090179421574 0.001015228426395939086325 -6.891625897052253423535 0 
M72 -89.87537980904097066615 0.01827411167512690355386 -3.983826737557129633654 0 
M73 -81.79018807651856959318 0.9837563451776649746188 4.103675889650984994015 0 
M74 -580.4336017666032748186 0.2761421319796954314805 -0.9636793541182986187884 0 
M75 -69.17383297196078895119 0.01319796954314720812223 -4.314406446998902339759 0 
M76 -26.01725627640680109549 0.004060913705583756345301 -5.502278098445472464574 0 
M77 -14.3969570887229369148 0.002030456852791878172651 -6.197461939587221242502 0 
M78 -457.7382944951092940411 0.1756345177664974619309 -1.546208745663899004202 0 
M79 -537.6878297946037745803 0.2355329949238578680139 -1.177327856133583622203 0 
