Marker Loglikelihood AverageProb Beta_0 NumError 
M80 -69.17383297196078895119 0.01319796954314720812223 -4.314406446998902339759 0 
M81 -60.3805588058962846229 0.01116751269035532994958 -4.483516030844164556267 0 
M82 -116.5241678493958838031 0.02538071065989847715813 -3.648057459593681173433 0 
M83 -51.21751101930330696277 0.9908629441624365481994 4.686238009076873103735 0 
M84 -678.9028296242855049503 0.4558375634517766497567 -0.1771112733285476946671 0 
M85 -20.3775148844177169602 0.003045685279187817258976 -5.790979019686356196912 0 
M86 -682.7250995457310958625 0.5035532994923857868174 0.01421343725005545818316 0 
M87 -418.5304964298235793629 0.8487309644670050761545 1.724682307139242481964 0 
M88 -7.892133855090179421574 0.001015228426395939086325 -6.891625897052253423535 0 
M89 -89.87537980904097066615 0.01827411167512690355386 -3.983826737557129633654 0 
M90 -354.995727658426210388 0.116751269035532994924 -2.023561083285379337158 0 
M91 -408.0384624353017029852 0.1451776649746192893344 -1.772935383982419446842 0 
M92 -402.6826272723930459918 0.8578680203045685279009 1.797694204747869548217 0 
M93 -675.7848089116759562889 0.5593908629441624365416 0.2386902750525096267276 0 
M94 -451.4970200817968118134 0.1715736040609137055856 -1.574515640041033537203 0 
M95 -546.9274322596577960209 0.7563451776649746192819 1.132745295037568212019 0 
M96 -667.121454322889484434 0.5888324873096446700552 0.3591410364339258804182 0 
M97 -20.3775148844177169602 0.003045685279187817258976 -5.790979019686356196912 0 
M98 -105.3876470190296890106 0.9776649746192893401212 3.779010958439809702647 0 
M99 -231.4679012355793306099 0.9370558375634517766411 2.700494849457760601933 0 
M100 -679.7372553642660426565 0.5390862944162436548286 0.156664823200590848994 0 
